DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/31/2006,2478437081,MONEY MARKET INTEREST (MMDA1),0.05,MMDA1,,,0.00,---,,,,
10/31/2006,2475980115,Bought 6 GS @ 189.2901,6,GS,189.2901,9.99,-1147.73,---,,,,
10/17/2006,2456256264,MONEY MARKET PURCHASE (MMDA1),1189.53,MMDA1,,,0.00,---,,,,
10/17/2006,2456256258,MONEY MARKET PURCHASE,,,,,-1189.53,---,,,,
10/12/2006,2451028743,Sold 48 BBW @ 25.0324,48,BBW,25.0324,9.99,1189.53,---,0.04,,,
10/12/2006,2450714433,MONEY MARKET PURCHASE,,,,,-6.88,---,,,,
10/12/2006,2450714437,MONEY MARKET PURCHASE (MMDA1),6.88,MMDA1,,,0.00,---,,,,
10/11/2006,2449844209,QUALIFIED DIVIDEND (OMM),,OMM,,,6.88,---,,,,
10/02/2006,2436112162,MONEY MARKET PURCHASE,,,,,-1.60,---,,,,
10/02/2006,2435478287,QUALIFIED DIVIDEND (PHM),,PHM,,,1.60,---,,,,
10/02/2006,2436112166,MONEY MARKET PURCHASE (MMDA1),1.6,MMDA1,,,0.00,---,,,,
09/25/2006,2423464151,MONEY MARKET PURCHASE,,,,,-44.16,---,,,,
09/25/2006,2423464173,MONEY MARKET PURCHASE (MMDA1),44.16,MMDA1,,,0.00,---,,,,
09/01/2006,2397421246,QUALIFIED DIVIDEND (INTC),,INTC,,,7.00,---,,,,
08/04/2006,2372079251,QUALIFIED DIVIDEND (LOW),,LOW,,,2.00,---,,,,
07/06/2006,2341789169,QUALIFIED DIVIDEND (OMM),,OMM,,,5.50,---,,,,
07/03/2006,2338519998,QUALIFIED DIVIDEND (PHM),,PHM,,,1.60,---,,,,
06/30/2006,2336840758,STOCK SPLIT (LOW),20,LOW,,,0.00,---,,,,
06/01/2006,2306230963,QUALIFIED DIVIDEND (INTC),,INTC,,,7.00,---,,,,
05/05/2006,2276656823,QUALIFIED DIVIDEND (LOW),,LOW,,,1.20,---,,,,
04/18/2006,2254205538,Bought 48 BBW @ 29.73,48,BBW,29.73,10.99,-1440.03,---,,,,
04/12/2006,2249900206,QUALIFIED DIVIDEND (OMM),,OMM,,,5.50,---,,,,
04/03/2006,2237530409,QUALIFIED DIVIDEND (PHM),,PHM,,,1.60,---,,,,
04/03/2006,2236416006,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.15,---,,,,
03/10/2006,2211187584,Bought 70 INTC @ 19.89,70,INTC,19.89,10.99,-1405.29,---,,,,
02/27/2006,2194349597,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.22,---,,,,
02/03/2006,2170817470,QUALIFIED DIVIDEND (LOW),,LOW,,,1.20,---,,,,
01/30/2006,2162374162,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.01,---,,,,
01/27/2006,2161341118,CASH RECEIPTS THIRD PARTY,,,,,2800.00,---,,,,
01/11/2006,2133470447,QUALIFIED DIVIDEND (OMM),,OMM,,,4.40,---,,,,
01/03/2006,2123252604,QUALIFIED DIVIDEND (PHM),,PHM,,,1.60,---,,,,
11/18/2005,2075723301,Bought 55 OMM @ 18.82,55,OMM,18.82,10.99,-1048.09,---,,,,
***END OF FILE***
